X,Y
120,677
394,763
394,765
458,766
458,765
777,765
749,762
844,762
762,784
811,763
843,764
1039,762
1035,765
1147,625
1146,625
1171,417
1147,625
896,544
1107,592
1146,590
1107,557
1147,557
1044,543
1085,557
1062,581
1085,592
818,490
861,521
863,521
1147,522
894,544
819,589
862,543
800,575
810,577
972,614
994,615
1047,719
793,576
935,650
955,650
1059,697
784,575
843,661
775,575
781,661
767,577
755,661
749,576
699,663
741,575
607,648
678,664
651,717
586,649
521,716
732,577
483,649
463,649
427,699
723,576
412,635
390,635
392,717
706,577
346,636
324,636
263,719
755,682
715,717
780,682
811,694
843,681
843,719
715,575
532,589
759,490
581,563
749,490
531,542
742,490
582,524
732,490
531,505
510,505
327,469
561,524
71,418
509,542
92,446
560,563
49,680
510,589
167,696
38,561
25,420
26,419
66,146
66,146
101,155
68,125
82,101
81,100
81,37
82,100
122,102
123,103
124,195
149,38
146,102
146,102
227,165
270,77
228,99
229,165
476,187
309,38
336,57
335,58
363,34
362,32
390,54
390,53
410,90
411,91
501,97
499,97
411,230
500,95
555,99
520,71
554,71
479,70
441,71
440,69
655,28
439,128
477,187
519,115
522,194
575,72
575,99
574,101
551,219
299,417
299,497
343,416
385,281
406,280
433,282
433,282
433,257
455,256
575,253
575,252
565,417
565,416
452,440
575,254
595,136
640,135
664,136
665,136
750,246
608,416
672,287
694,286
694,268
703,224
715,490
729,225
723,490
587,468
611,476
631,474
706,509
749,269
741,418
767,491
755,324
775,492
841,385
792,491
795,423
801,492
819,409
755,303
1144,390
755,247
800,246
777,266
802,268
803,268
834,237
